COUNTRY;ISO3;Human_Development_Index;Multidimensional_Poverty_Index;Development_and_Deprivation;Gender_Inequality_Index;Gini_Index;Inequality;Total_public_Aid_M_Usdollars;Public_Aid_per_capita_US;Public_Aid_per_capita_Usdollars;Net ODA received (% of GNI);Volume of remittances;Economic Dependency Index;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted_people_total_ population;Total_Pop;Total_Uprooted_people_percentage_of_the_total_population;Uprooted people;Estimated_number_of_people_living_with_HIV_Adult_moreThan15_rate;Number_of_new_HIV_infections_per_1000_uninfected_population;HIV;Incidence_of_Tuberculosis;Malaria_incidence_per_1000_population_at_risk;People requiring interventions against neglected tropical diseases (% of total population);People requiring interventions against neglected tropical diseases;Health Conditions;Food Availability Score;Food Utilization Score;Food Security;Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (18-49);Attitudes_towards_violence;GBV;INFORM_Vulnerable_Groups;Air_transport_passengers_carried;International_tourism_number_of_arrivals;Point_of_entry;International_movements;Access_to_Cities;Road_density;Road_density;Internal_movements;Movements;Adult_literacy_rate;Mobile_cellular_subscriptions;Internet_usres;Awerness;Trust;Behaviour;Demographic_and_Co_morbidities;Covid_19_Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru;NRU;2,8;x;2,8;x;x;x;50;4.672;10,0;10,0;1,7;7,2;4,3;1,4;0,5;12,81%;10,0;5,3;x;x;x;1,7;x;26,42%;2,9;2,3;10,0;0,0;5,0;x;x;x;4,3;1,6;x;0,0;0,8;2,1;219;10,0;6,1;3,5;x;5,4;8,0;6,7;x;6,7;x;5,1,,,,,,,,,,,,,,,
Nepal;NPL;6,4;8,0;7,3;6,3;2,0;4,2;1.456;51;1,0;3,3;9,5;4,6;5,9;20,9;4,4;0,07%;3,0;3,7;0,4;0,0;0,2;2,8;0,0;56,14%;6,2;2,3;4,1;1,2;2,7;2,3;5,3;3,8;3,2;6,3;4,9;2,0;4,4;7,8;15;1,4;4,6;4,5;5,9;3,1;0,7;3,2;8,5;5,9;1,6;3,4
Netherlands;NLD;0,0;x;0,0;0,5;0,8;0,7;-25;-1;0,0;x;0,1;0,1;0,2;114,1;6,9;0,67%;5,1;6,0;0,4;0,2;0,3;0,1;x;0,00%;0,0;0,1;3,2;0,0;1,6;1,4;0,6;1,0;2,5;9,1;8,1;6,0;7,7;3,1;623;10,0;6,6;7,2;x;3,9;1,2;2,6;2,3;2,5;8,4;6,6,,,,
New Zealand;NZL;0,0;x;0,0;1,8;x;1,8;0;0;0,0;x;0,1;0,1;0,5;2,0;1,0;0,04%;2,6;1,8;0,2;x;0,2;0,1;x;0,00%;0,0;0,1;2,8;0,0;1,4;x;0,9;0,9;1,1;8,1;6,4;10,0;8,2;2,5;42;4,1;3,3;5,8;x;3,3;7,5;5,4;1,6;3,5;5,6;5,1,,,,,,,
Nicaragua;NIC;5,0;6,9;6,0;6,1;5,3;5,7;436;67;1,3;1,8;3,8;2,3;5,0;0,5;0,0;0,01%;1,7;0,9;0,4;0,4;0,4;0,8;0,1;24,66%;2,7;1,0;4,5;4,0;4,3;1,5;1,6;1,6;2,1;x;5,6;8,0;6,8;5,9;15;1,4;3,7;5,3;3,5;4,4;9,0;5,6;8,9;7,3;2,0;4,2,
Niger;NER;10,0;10,0;10,0;8,6;2,3;5,5;7.302;313;6,3;8,8;1,1;5,4;7,7;422,6;8,8;1,81%;6,5;7,7;0,8;0,5;0,7;1,6;9,0;60,35%;6,7;4,5;3,5;3,8;3,7;x;7,5;7,5;6,2;x;3,0;2,0;2,5;7,3;4;0,3;3,8;3,2;10,0;8,2;7,4;8,5;x;8,5;0,0;2,9,,,
Nigeria;NGA;7,3;9,1;8,3;x;4,5;4,5;20.898;104;2,1;0,6;2,0;1,6;5,7;2.251,7;10,0;1,12%;5,8;7,9;5,8;x;5,8;4,0;7,0;66,67%;7,4;6,1;4,5;2,8;3,7;2,3;4,3;3,3;5,6;7,3;x;4,0;5,7;3,5;11;1,0;2,3;4,0;6,8;5,7;0,3;4,3;9,0;6,7;0,0;2,7,,,
North Macedonia;MKD;2,8;3,6;3,2;1,9;2,7;2,3;119;57;1,1;0,9;0,9;1,0;2,4;0,6;0,0;0,03%;2,3;1,2;0,2;0,1;0,2;0,2;x;0,00%;0,0;0,1;4,0;0,0;2,0;x;1,6;1,6;1,2;x;4,5;10,0;7,3;6,3;56;5,5;5,9;6,6;0,5;5,4;2,3;2,7;6,6;4,7;7,2;6,4,,,
Norway;NOR;0,0;x;0,0;0,6;0,6;0,6;-36;-7;0,0;x;0,0;0,0;0,2;59,3;5,9;1,10%;5,8;5,9;0,4;x;0,4;0,1;x;0,00%;0,0;0,2;2,0;0,0;1,0;x;1,1;1,1;2,4;x;7,0;6,0;6,5;4,9;46;4,5;4,7;5,6;x;4,8;8,4;6,6;2,1;4,4;7,2;6,1,,,,,,,
Oman;OMN;1,3;x;1,3;4,1;x;4,1;0;0;0,0;x;0,0;0,0;1,7;0,6;0,0;0,01%;1,9;1,0;0,4;x;0,4;0,1;0,0;0,00%;0,0;0,1;3,9;0,6;2,3;x;0,9;0,9;1,1;7,5;5,9;10,0;7,8;2,0;14;1,3;1,7;4,8;0,9;3,4;x;2,2;3,8;3,0;2,0;3,0,,,,,,
Pakistan;PAK;6,8;8,5;7,8;7,3;2,1;4,7;4.965;23;0,5;0,3;2,2;1,0;5,3;1.528,2;10,0;0,71%;5,2;7,6;0,2;0,6;0,4;4,9;0,1;14,63%;1,6;1,8;5,5;5,1;5,3;x;5,2;5,2;5,3;7,1;x;4,0;5,6;7,8;13;1,2;4,5;5,1;7,1;6,5;3,9;5,8;6,4;6,1;1,2;3,4,,
Palau;PLW;1,7;x;1,7;x;x;x;112;6.231;10,0;10,0;0,3;6,8;3,4;0,0;0,0;0,00%;0,0;0,0;x;x;x;1,9;x;0,00%;0,0;1,0;10,0;0,0;5,0;2,0;x;2,0;2,2;x;2,7;6,0;4,4;2,7;61;6,0;4,4;4,4;0,7;3,4;4,6;2,9;x;2,9;x;3,7,,,,,,,,,,,,
Palestine;PSE;4,2;2,1;3,2;x;2,2;2,2;9.628;1.933;10,0;8,8;5,7;8,2;4,2;2.856,3;10,0;57,34%;10,0;10,0;x;x;x;0,0;x;x;x;0,0;3,2;2,4;2,8;x;4,8;4,8;6,1;x;4,3;x;4,3;0,9;282;10,0;5,5;4,9;0,6;5,6;9,0;5,1;x;5,1;0,8;2,9,,,,,,,,,,,
Panama;PAN;2,1;x;2,1;6,1;6,2;6,2;111;26;0,5;0,0;0,3;0,3;2,7;16,1;4,0;0,38%;4,4;4,2;1,6;2,5;2,1;1,0;0,0;10,27%;1,1;1,0;4,1;1,7;2,9;2,1;0,6;1,4;2,5;7,8;5,7;6,0;6,5;5,7;16;1,5;3,6;5,1;1,0;3,2;3,9;2,7;8,1;5,4;3,2;4,2,
Papua New Guinea;PNG;7,1;x;7,1;9,9;4,2;7,1;1.192;136;2,7;2,3;0,0;1,7;5,8;22,2;4,5;0,25%;4,0;4,3;1,8;2,0;1,9;7,9;4,5;74,60%;8,3;5,7;6,5;1,3;3,9;x;x;x;4,7;5,0;x;2,0;3,5;0,7;3;0,2;0,5;2,0;6,8;7,8;5,1;6,6;x;6,6;4,0;4,2,,,,,,
Paraguay;PRY;3,5;4,7;4,1;6,4;6,0;6,2;127;18;0,4;0,3;0,6;0,4;3,7;0,6;0,0;0,01%;1,8;0,9;1,0;1,2;1,1;0,8;0,0;28,03%;3,1;1,3;5,1;1,9;3,5;x;2,8;2,8;2,2;4,4;5,5;6,0;5,3;4,6;19;1,8;3,2;4,3;1,3;4,8;4,5;3,5;9,2;6,4;2,0;3,7,
Peru;PER;2,8;6,4;4,9;5,1;4,6;4,9;818;25;0,5;0,1;0,5;0,4;3,8;292,4;8,2;0,90%;5,5;6,9;0,6;0,5;0,6;2,1;0,1;8,24%;0,9;0,9;4,4;1,6;3,0;2,2;3,9;3,1;3,8;8,1;6,5;4,0;6,2;6,0;7;0,6;3,3;4,8;1,2;3,9;2,4;2,5;8,8;5,7;2,4;3,8
Philippines;PHL;3,8;5,1;4,5;5,7;3,8;4,8;1.386;13;0,3;0,1;3,4;1,3;3,8;301,9;8,3;0,28%;4,1;6,2;0,2;0,7;0,5;10,0;0,0;45,45%;5,1;3,9;4,0;2,8;3,4;1,0;1,5;1,3;3,9;9,1;7,1;x;8,1;3,7;50;5,0;4,4;6,3;0,4;3,8;2,6;2,3;8,0;5,2;2,8;4,3,
Poland;POL;0,6;x;0,6;1,6;1,5;1,6;0;0;0,0;x;0,4;0,2;0,8;15,6;4,0;0,04%;2,6;3,3;0,2;x;0,2;0,3;x;0,00%;0,0;0,2;1,6;0,0;0,8;0,5;0,9;0,7;1,3;7,4;8,2;x;7,8;6,3;201;10,0;8,2;8,0;0,3;3,3;0,6;1,4;7,9;4,7;8,8;7,6,,,,,
Portugal;PRT;1,0;x;1,0;1,1;2,6;1,9;0;0;0,0;x;0,1;0,1;1,0;2,2;1,2;0,02%;2,2;1,7;x;0,5;0,5;0,4;x;0,00%;0,0;0,3;1,5;0,0;0,8;1,1;0,1;0,6;0,9;8,1;8,0;8,0;8,0;5,4;175;10,0;7,7;7,9;0,8;4,3;3,6;2,9;6,3;4,6;10,0;8,1,,,,
Qatar;QAT;1,0;x;1,0;2,7;x;2,7;-81;-29;0,0;x;0,1;0,1;1,2;0,3;0,0;0,01%;1,8;0,9;0,2;0,4;0,3;0,5;x;0,00%;0,0;0,3;1,9;0,0;1,0;x;0,8;0,8;0,8;8,7;5,9;4,0;6,2;3,8;95;9,5;6,7;6,5;1,4;3,0;2,4;2,3;1,8;2,1;2,4;3,4,,,,,
Romania;ROU;1,7;x;1,7;4,2;2,7;3,5;0;0;0,0;x;1,0;0,5;1,9;5,6;2,5;0,03%;2,4;2,5;0,2;0,2;0,2;1,3;x;0,00%;0,0;0,5;0,7;0,0;0,4;1,4;0,9;1,2;1,2;6,7;7,6;4,0;6,1;9,0;87;8,7;8,9;7,5;0,3;4,3;8,0;4,2;8,3;6,3;8,8;7,9,,,
Russian Federation;RUS;1,5;x;1,5;3,4;3,2;3,3;6;0;0,0;x;0,2;0,1;1,6;81,1;6,4;0,06%;2,8;4,6;x;4,3;4,3;1,1;x;0,00%;0,0;1,8;1,6;0,0;0,8;x;2,8;2,8;2,6;10,0;8,5;10,0;9,5;4,7;12;1,1;2,9;6,2;0,1;2,2;2,3;1,5;5,9;3,7;8,4;6,7,,,,,
Rwanda;RWA;7,3;8,9;8,2;5,5;4,7;5,1;1.442;114;2,3;8,0;0,9;3,7;6,3;153,4;7,3;1,21%;5,9;6,6;6,2;3,5;4,9;1,0;10,0;42,20%;4,7;5,1;6,8;10,0;8,4;4,5;5,1;4,8;6,5;5,1;x;4,0;4,6;5,5;33;3,2;4,4;4,5;5,1;6,2;5,3;5,5;2,6;4,1;0,0;2,2,
Saint Kitts and Nevis;KNA;2,5;x;2,5;x;x;x;0;0;0,0;x;0,9;0,5;1,8;0,0;0,0;0,01%;1,7;0,9;x;x;x;0,0;x;0,02%;0,0;0,0;6,7;0,2;3,5;x;x;x;1,6;x;x;2,0;2,0;4,8;165;10,0;7,4;4,7;x;2,7;3,4;3,1;x;3,1;x;3,9,,,,,,,,,,,,,,,,,
Saint Lucia;LCA;3,1;3,2;3,2;4,4;6,6;5,5;7;39;0,8;0,3;0,7;0,6;3,1;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,1;x;12,84%;1,4;0,8;7,5;4,4;6,0;x;x;x;2,7;x;4,0;10,0;7,0;6,4;113;10,0;8,2;7,6;x;5,0;7,1;6,1;x;6,1;5,6;6,2,,,,,,,,,,
Saint Vincent and the Grenadines;VCT;3,4;x;3,4;x;x;x;5;42;0,8;1,5;1,9;1,4;2,7;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,0;x;0,00%;0,0;0,0;3,9;0,2;2,1;x;x;x;0,7;x;2,2;2,0;2,1;5,3;105;10,0;7,7;4,9;x;5,3;7,2;6,3;x;6,3;5,6;5,6,,,,,,,,,,,,,,
Samoa;WSM;3,9;x;3,9;4,9;3,4;4,2;195;987;10,0;9,7;6,0;8,6;5,2;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,3;x;31,11%;3,5;1,9;2,5;0,0;1,3;4,8;x;4,8;2,2;2,8;2,9;4,0;3,2;6,1;57;5,6;5,9;4,6;0,2;7,0;2,0;3,1;x;3,1;3,6;3,7,,,,,,,
Sao Tome and Principe;STP;5,8;7,3;6,6;7,3;1,5;4,4;34;157;3,1;7,0;1,4;3,8;5,4;0,0;0,0;0,00%;0,0;0,0;1,6;x;1,6;2,1;0,3;89,65%;10,0;3,5;4,3;0,7;2,5;5,8;x;5,8;3,2;x;x;0,0;0,0;5,4;67;6,6;6,0;3,0;1,5;6,3;7,4;5,1;x;5,1;0,4;2,2,,,,,
Saudi Arabia;SAU;0,9;x;0,9;3,0;x;3,0;0;0;0,0;x;0,0;0,0;1,2;2,4;1,3;0,01%;1,7;1,5;0,2;x;0,2;0,2;0,0;0,00%;0,0;0,1;2,7;0,7;1,7;x;x;x;1,1;9,0;8,0;6,0;7,7;4,9;6;0,5;2,7;5,2;1,0;4,0;3,0;2,7;3,1;2,9;2,4;3,2,,,,,,,
Senegal;SEN;7,7;9,1;8,5;7,0;3,8;5,4;1.375;84;1,7;2,8;3,4;2,6;6,3;34,1;5,1;0,21%;3,8;4,5;0,8;0,5;0,7;2,2;1,6;73,67%;8,2;3,2;4,8;2,1;3,5;2,5;7,0;4,8;4,0;0,8;5,3;2,0;2,7;2,6;12;1,1;1,9;2,3;8,0;4,9;4,3;5,7;6,5;6,1;0,0;2,1
Serbia;SRB;2,0;0,6;1,3;2,2;0,9;1,6;500;57;1,1;1,5;2,8;1,8;1,5;31,2;5,0;0,36%;4,4;4,7;0,2;0,1;0,2;0,3;x;0,00%;0,0;0,2;5,3;0,2;2,8;x;0,4;0,4;2,2;5,9;5,4;0,0;3,8;6,5;75;7,5;7,0;5,4;0,4;5,3;8,8;4,8;7,3;6,1;8,8;7,3,,
Seychelles;SYC;2,0;x;2,0;x;5,5;5,5;10;99;2,0;0,8;0,5;1,1;2,7;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,3;x;0,00%;0,0;0,2;6,8;0,5;3,7;x;x;x;1,5;4,1;3,9;4,0;4,0;10,0;83;8,2;9,1;6,6;0,9;0,8;1,6;1,1;7,0;4,1;5,2;5,3,,,,,,,,,
Sierra Leone;SLE;9,2;9,2;9,2;8,6;2,3;5,5;626;80;1,6;8,9;0,5;3,7;6,9;0,6;0,0;0,01%;1,7;0,9;3,4;2,4;2,9;5,5;9,5;89,60%;10,0;7,0;5,3;6,9;6,1;6,3;7,8;7,1;5,7;x;x;4,0;4,0;5,9;21;2,0;4,0;4,0;8,9;5,7;1,8;5,5;6,9;6,2;0,4;2,8,,
Singapore;SGP;0,0;x;0,0;0,9;x;0,9;-1;0;0,0;x;x;0,0;0,2;0,0;0,0;0,00%;0,0;0,0;0,3;0,4;0,4;0,9;x;0,05%;0,0;0,4;3,3;0,0;1,7;x;5,1;5,1;2,1;9,0;7,9;8,0;8,3;5,2;800;10,0;7,6;8,0;0,6;2,6;2,1;1,8;1,0;1,4;6,8;5,8,,,,,,
Slovakia;SVK;0,9;x;0,9;2,5;0,4;1,5;0;0;0,0;x;0,7;0,4;0,9;1,0;0,0;0,02%;2,1;1,1;0,2;0,1;0,2;0,1;x;0,00%;0,0;0,1;4,5;0,0;2,3;1,6;0,5;1,1;1,2;x;5,8;8,0;6,9;1,2;175;10,0;5,6;6,3;x;3,4;8,9;6,2;8,1;7,2;8,0;7,4,,,,,
Slovenia;SVN;0,0;x;0,0;0,9;0,1;0,5;0;0;0,0;x;0,4;0,2;0,2;1,0;0,0;0,05%;2,7;1,4;0,2;0,2;0,2;0,1;x;0,00%;0,0;0,1;3,2;0,0;1,6;0,2;1,9;1,1;1,1;5,1;6,4;6,0;5,8;4,3;179;10,0;7,2;6,5;0,1;4,2;9,8;4,7;7,5;6,1;9,2;7,8,,,
Solomon Islands;SLB;6,9;x;6,9;x;3,0;3,0;333;496;9,9;9,7;0,5;6,7;5,9;0,0;0,0;0,00%;0,0;0,0;x;x;x;1,4;4,3;79,13%;8,8;4,8;4,3;1,3;2,8;9,3;x;9,3;5,4;4,1;1,0;2,0;2,4;4,3;4;0,3;2,3;2,4;4,5;6,5;4,6;5,2;x;5,2;2,8;3,3,,,,,,,
Somalia;SOM;8,7;x;8,7;x;x;x;26.448;1.713;10,0;10,0;x;10,0;9,1;2.768,6;10,0;17,93%;10,0;10,0;0,8;0,1;0,5;4,8;0,9;16,40%;1,8;2,0;7,5;5,2;6,4;x;9,5;9,5;8,2;0,0;x;2,0;1,0;2,6;30;3,0;2,8;1,9;x;7,6;9,3;8,5;x;8,5;0,0;2,6,,,,,,,,,
South Africa;ZAF;3,9;5,2;4,6;5,6;9,5;7,6;1.553;27;0,5;0,2;0,1;0,3;4,3;306,9;8,3;0,52%;4,8;6,6;10,0;10,0;10,0;10,0;0,1;33,02%;3,7;6,0;3,3;0,4;1,9;x;7,6;7,6;5,9;8,4;7,5;6,0;7,3;5,0;25;2,4;3,7;5,5;2,7;2,1;1,5;2,1;8,3;5,2;5,6;5,5,
South Sudan;SSD;9,7;10,0;9,9;x;5,3;5,3;32.180;2.909;10,0;10,0;3,2;7,7;8,2;2.096,5;10,0;18,95%;10,0;10,0;5,4;6,7;6,1;2,7;3,5;85,88%;9,5;5,4;7,5;8,6;8,1;x;x;x;8,4;x;x;2,0;2,0;5,7;6;0,5;3,1;2,6;9,7;8,5;6,8;8,3;x;8,3;0,0;2,7,,,,,,,
Spain;ESP;0,1;x;0,1;1,0;2,8;1,9;0;0;0,0;x;0,1;0,1;0,6;99,1;6,7;0,21%;3,8;5,3;0,8;0,6;0,7;0,2;x;0,00%;0,0;0,3;2,7;0,0;1,4;0,2;1,1;0,7;2,2;9,8;9,8;8,0;9,2;3,7;144;10,0;6,9;8,1;0,3;4,3;7,2;3,9;7,9;5,9;8,4;7,7,,,
Sri Lanka;LKA;2,4;x;2,4;5,1;3,7;4,4;338;16;0,3;0,0;2,6;1,0;2,6;40,0;5,3;0,19%;3,7;4,5;0,2;0,1;0,2;1,2;0,0;0,88%;0,1;0,4;4,7;1,3;3,0;x;6,6;6,6;4,0;6,9;5,8;6,0;6,2;4,6;41;4,1;4,4;5,3;1,7;2,9;5,5;3,4;7,7;5,6;5,6;5,5,,
Sudan;SDN;7,9;9,1;8,6;7,5;2,6;5,1;16.878;394;7,9;1,7;0,3;3,3;6,4;3.155,0;10,0;7,37%;9,2;9,6;0,4;0,7;0,6;1,4;0,9;25,77%;2,9;1,4;5,2;5,0;5,1;x;4,2;4,2;6,1;3,6;4,8;2,0;3,5;6,9;2;0,1;3,5;3,5;6,9;6,6;7,1;6,9;x;6,9;1,2;3,2,,
Suriname;SUR;3,5;6,0;4,9;6,2;x;6,2;8;14;0,3;0,3;0,0;0,2;4,1;0,3;0,0;0,04%;2,6;1,3;2,8;3,3;3,1;0,5;0,0;9,37%;1,0;1,1;4,7;1,2;3,0;x;x;x;1,8;3,6;3,6;10,0;5,7;4,3;4;0,3;2,3;4,0;1,2;3,6;0,4;1,7;8,4;5,1;4,0;4,3,,,,
Sweden;SWE;0,0;x;0,0;0,5;1,1;0,8;-111;-11;0,0;x;0,2;0,1;0,2;286,2;8,2;2,85%;7,3;7,8;0,4;x;0,4;0,1;x;0,00%;0,0;0,2;3,2;0,0;1,6;1,1;1,1;1,1;3,5;x;7,1;10,0;8,6;5,6;73;7,3;6,5;7,6;x;3,8;0,6;2,2;2,9;2,6;7,6;6,4,,,,,,
Switzerland;CHE;0,0;x;0,0;0,5;1,8;1,2;-22;-3;0,0;x;0,1;0,1;0,3;118,8;6,9;1,38%;6,1;6,5;0,6;x;0,6;0,1;x;0,00%;0,0;0,2;2,5;0,0;1,3;x;1,8;1,8;2,9;8,7;7,5;x;8,1;6,9;400;10,0;8,5;8,3;x;3,8;6,8;5,3;2,4;3,9;2,4;4,3,,,,,,,
Syria;SYR;7,0;5,4;6,3;7,3;x;7,3;60.966;3.572;10,0;x;x;10,0;7,5;7.010,6;10,0;41,07%;10,0;10,0;0,2;x;0,2;0,3;0,0;11,28%;1,3;0,5;3,1;8,0;5,6;x;x;x;7,1;0,6;x;8,0;4,3;6,1;35;3,5;4,8;4,6;x;5,1;8,0;6,6;5,9;6,3;0,8;3,1,,,,,,,,,
Tajikistan;TJK;4,9;5,4;5,2;5,0;2,3;3,7;318;34;0,7;3,0;9,7;4,5;4,7;3,0;1,6;0,03%;2,4;2,0;0,6;0,8;0,7;1,5;0,0;30,52%;3,4;1,4;7,7;0,2;4,0;4,1;7,5;5,8;3,5;4,2;4,1;2,0;3,4;3,4;10;0,9;2,2;2,8;0,0;4,5;8,7;4,4;4,6;4,5;0,8;2,2
Tanzania;TZA;7,4;9,0;8,3;7,2;3,2;5,2;3.914;67;1,3;2,9;0,2;1,5;5,8;284,5;8,2;0,49%;4,7;6,5;9,4;7,4;8,4;4,9;2,8;46,05%;5,1;5,3;5,6;8,6;7,1;6,5;7,2;6,9;6,5;5,4;5,3;4,0;4,9;5,8;8;0,7;3,3;4,1;4,3;6,3;4,7;5,1;5,9;5,5;0,0;2,4
Thailand;THA;2,7;1,8;2,3;5,0;2,9;4,0;164;2;0,0;0,0;0,5;0,2;2,2;144,2;7,2;0,21%;3,8;5,5;2,2;x;2,2;2,8;0,0;0,08%;0,0;1,3;4,5;0,9;2,7;x;1,0;1,0;2,8;9,7;8,9;6,0;8,2;5,9;45;4,4;5,2;6,7;1,5;1,0;2,8;1,8;7,9;4,9;6,8;6,3,,
Timor-Leste;TLS;5,5;8,6;7,4;x;0,9;0,9;353;273;5,5;5,7;1,2;4,1;5,0;0,0;0,0;0,00%;0,0;0,0;x;x;x;9,1;0,0;98,98%;10,0;6,4;6,3;6,6;6,5;7,6;10,0;8,8;6,3;x;2,2;8,0;5,1;4,3;20;1,9;3,1;4,1;5,9;4,3;7,5;5,9;6,7;6,3;1,2;3,2,,,,,
Togo;TGO;7,7;8,9;8,4;7,5;4,5;6,0;216;27;0,5;3,7;3,1;2,4;6,3;12,8;3,7;0,16%;3,6;3,7;4,2;3,3;3,8;0,7;9,3;66,52%;7,4;5,3;4,9;3,7;4,3;2,7;3,5;3,1;4,1;4,4;4,2;4,0;4,2;7,4;24;2,3;4,9;4,6;6,5;6,3;8,8;7,2;x;7,2;0,4;3,2,
Tonga;TON;3,7;x;3,7;5,6;3,2;4,4;258;2.466;10,0;10,0;10,0;10,0;5,5;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,2;x;35,53%;3,9;2,1;8,4;0,0;4,2;4,1;x;4,1;2,8;x;2,0;0,0;1,0;2,5;100;10,0;6,3;3,7;0,1;4,9;6,0;3,7;x;3,7;4,8;4,3,,,,,,,,
Trinidad and Tobago;TTO;2,0;1,4;1,7;4,3;x;4,3;80;57;1,1;x;0,2;0,7;2,1;10,7;3,4;0,77%;5,3;4,4;2,4;1,4;1,9;0,3;x;1,31%;0,1;0,8;2,9;0,2;1,6;1,3;1,1;1,2;2,1;6,0;4,0;4,0;4,7;6,6;173;10,0;8,3;6,5;0,3;3,0;2,7;2,0;8,2;5,1;6,8;6,3,,,
Tunisia;TUN;3,2;2,7;3,0;4,0;2,0;3,0;863;74;1,5;1,4;1,6;1,5;2,6;1,3;0,4;0,01%;1,9;1,2;0,2;0,2;0,2;0,6;x;0,04%;0,0;0,3;0,8;0,0;0,4;x;2,3;2,3;1,1;6,6;7,1;4,0;5,9;6,3;35;3,5;4,9;5,4;4,1;3,7;4,5;4,1;6,8;5,5;4,4;4,9,,
Turkey;TUR;1,9;x;1,9;4,1;4,2;4,2;30.078;361;7,2;0,1;0,0;2,4;2,6;5.056,2;10,0;6,06%;8,8;9,4;x;x;x;0,3;0,0;0,00%;0,0;0,1;0,0;0,0;0,0;2,3;1,5;1,9;4,5;10,0;8,9;10,0;9,6;5,8;52;5,1;5,5;7,6;0,8;5,3;3,5;3,2;6,8;5,0;4,4;5,4,,,,
Turkmenistan;TKM;3,8;0,6;2,3;x;x;x;11;2;0,0;0,0;0,0;0,0;1,5;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,8;0,0;0,00%;0,0;0,3;3,9;0,1;2,0;x;3,2;3,2;1,5;6,0;x;6,0;6,0;5,5;4;0,3;2,9;4,5;0,1;1,9;8,2;3,4;x;3,4;2,4;3,2,,,,,,,,,
Tuvalu;TUV;4,6;x;4,6;x;3,5;3,5;26;2.227;10,0;10,0;3,2;7,7;5,1;0,0;0,0;0,00%;0,0;0,0;x;x;x;4,3;x;92,51%;10,0;7,2;8,4;0,0;4,2;5,5;x;5,5;4,7;x;0,0;2,0;1,0;0,8;157;10,0;5,4;3,2;x;6,6;5,4;6,0;x;6,0;x;4,6,,,,,,,,,,,
Uganda;UGA;7,4;9,0;8,3;7,1;4,5;5,8;8.699;196;3,9;4,9;1,5;3,4;6,5;1.451,6;10,0;3,28%;7,5;8,8;10,0;8,4;9,2;3,7;5,0;51,68%;5,7;5,9;7,3;10,0;8,7;6,6;7,2;6,9;7,8;0,8;5,4;2,0;2,7;5,1;23;2,2;3,7;3,2;4,6;7,3;7,8;6,6;7,8;7,2;0,0;2,6
Ukraine;UKR;3,0;0,0;1,6;3,8;0,0;1,9;5.030;114;2,3;0,6;3,7;2,2;1,8;809,0;9,7;1,84%;6,5;8,1;1,8;1,8;1,8;1,5;x;0,00%;0,0;1,1;4,1;0,0;2,1;2,1;0,3;1,2;3,9;7,2;7,9;2,0;5,7;5,1;74;7,4;6,3;6,0;0,0;3,7;4,7;2,8;7,5;5,2;8,8;7,2,
United Arab Emirates;ARE;0,7;x;0,7;1,5;x;1,5;0;0;0,0;x;x;0,0;0,7;7,7;2,9;0,08%;3,0;3,0;x;x;x;0,0;0,0;0,00%;0,0;0,0;2,9;0,0;1,5;x;x;x;1,6;10,0;x;8,0;9,0;6,2;48;4,7;5,5;7,3;x;0,0;0,5;0,3;1,2;0,8;2,8;3,4,,,,,,,,,,,,
United Kingdom;GBR;0,0;x;0,0;1,6;2,1;1,9;-4;0;0,0;x;0,1;0,1;0,5;172,0;7,5;0,25%;4,0;5,8;0,6;x;0,6;0,2;x;0,00%;0,0;0,3;2,0;0,0;1,0;1,1;1,1;1,1;2,4;10,0;8,9;4,0;7,6;4,9;269;10,0;7,5;7,6;x;4,2;0,5;2,4;3,6;3,0;7,6;6,5,,,,,
United States of America;USA;0,0;x;0,0;2,4;4,1;3,3;-93;0;0,0;x;0,0;0,0;0,8;1.032,2;10,0;0,31%;4,2;7,1;x;x;x;0,1;x;0,00%;0,0;0,1;0,3;0,0;0,2;x;1,3;1,3;2,8;10,0;9,7;8,0;9,2;3,6;72;7,2;5,4;7,3;x;3,6;2,4;3,0;3,6;3,3;6,8;6,1,,,,,,,,
Uruguay;URY;1,8;x;1,8;3,7;3,6;3,7;40;12;0,2;0,1;0,1;0,1;1,9;6,8;2,8;0,20%;3,8;3,3;1,2;1,3;1,3;0,6;x;0,00%;0,0;0,6;2,5;0,0;1,3;0,4;0,0;0,2;1,4;x;6,4;8,0;7,2;4,2;33;3,2;3,7;5,5;0,3;2,6;3,4;2,1;4,4;3,3;6,0;5,2,,,
