COUNTRY;ISO3;Human_Development_Index;Multidimensional_Poverty_Index;Development_and_Deprivation;Gender_Inequality_Index;Gini_Index;Inequality;Total_public_Aid_M_Usdollars;Public_Aid_per_capita_US;Public_Aid_per_capita_Usdollars;Net ODA received (% of GNI);Volume of remittances;Economic Dependency Index;INFORM Socio-Economic Vulnerability;Total Uprooted people (1,000 people);Uprooted_people_total_ population;Total_Pop;Total_Uprooted_people_percentage_of_the_total_population;Uprooted people;Estimated_number_of_people_living_with_HIV_Adult_moreThan15_rate;Number_of_new_HIV_infections_per_1000_uninfected_population;HIV;Incidence_of_Tuberculosis;Malaria_incidence_per_1000_population_at_risk;People requiring interventions against neglected tropical diseases (% of total population);People requiring interventions against neglected tropical diseases;Health Conditions;Food Availability Score;Food Utilization Score;Food Security;Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months (18-49);Attitudes_towards_violence;GBV;INFORM_Vulnerable_Groups;Air_transport_passengers_carried;International_tourism_number_of_arrivals;Point_of_entry;International_movements;Access_to_Cities;Road_density;Road_density;Internal_movements;Movements;Adult_literacy_rate;Mobile_cellular_subscriptions;Internet_usres;Awerness;Trust;Behaviour;Demographic_and_Co_morbidities;Covid_19_Vulnerability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic;CZE;0,2;x;0,2;1,8;0,2;1,0;0;0;0,0;x;0,5;0,3;0,4;4,1;2,1;0,04%;2,5;2,3;0,2;0,2;0,2;0,1;x;0,00%;0,0;0,1;3,1;0,0;1,6;1,1;0,1;0,6;1,2;6,9;7,5;2,0;5,5;6,2;272;10,0;8,1;6,8;x;4,1;2,1;3,1;7,4;5,3;9,6;7,8,,,,
Denmark;DNK;0,0;x;0,0;0,5;0,8;0,7;-83;-14;0,0;x;0,1;0,1;0,2;39,4;5,3;0,68%;5,1;5,2;0,4;0,2;0,3;0,1;x;0,00%;0,0;0,1;2,8;0,0;1,4;1,4;0,0;0,7;2,1;x;7,7;10,0;8,9;4,9;354;10,0;7,5;8,2;x;3,8;0,3;2,1;3,2;2,7;8,8;7,1,,,,,
Djibouti;DJI;8,1;x;8,1;x;4,2;4,2;576;592;10,0;3,9;0,7;4,9;6,3;28,3;4,8;2,90%;7,3;6,1;2,6;2,9;2,8;4,9;0,8;11,36%;1,3;2,4;5,5;4,6;5,1;x;x;x;4,7;x;x;2,0;2,0;9,6;11;1,0;5,3;3,7;x;8,1;4,4;6,3;x;6,3;1,6;3,3,,,,,,,,,
Dominica;DMA;3,5;x;3,5;x;x;x;11;147;2,9;3,5;3,0;3,1;3,4;0,0;0,0;0,00%;0,0;0,0;x;x;x;0,0;x;9,64%;1,1;0,6;4,1;0,4;2,3;x;x;x;1,0;x;2,1;8,0;5,1;5,3;133;10,0;7,7;6,4;x;4,8;3,3;4,1;x;4,1;x;5,3,,,,,,,,,,,,,,,
Dominican Republic;DOM;3,1;4,4;3,8;6,0;5,2;5,6;145;14;0,3;0,1;2,7;1,0;3,6;0,5;0,0;0,00%;0,0;0,0;2,0;1,3;1,7;0,8;0,0;26,13%;2,9;1,3;4,7;1,5;3,1;3,4;0,1;1,8;1,6;x;7,0;2,0;4,5;7,0;60;6,0;6,5;5,5;1,3;5,9;3,6;3,6;9,2;6,4;2,4;4,2,
Ecuador;ECU;2,8;4,6;3,8;5,2;4,9;5,1;1.140;66;1,3;0,3;0,9;0,8;3,4;118,6;6,9;0,68%;5,1;6,0;0,6;0,7;0,7;0,8;0,1;10,64%;1,2;0,7;4,8;1,0;2,9;2,2;3,0;2,6;3,3;6,8;5,5;8,0;6,8;1,1;25;2,4;1,8;4,3;1,5;5,5;4,3;3,8;9,0;6,4;2,0;3,7
Egypt;EGY;4,0;4,8;4,4;6,0;1,7;3,9;2.115;21;0,4;0,6;3,4;1,5;3,6;408,7;8,7;0,41%;4,5;6,6;0,2;0,1;0,2;0,2;0,0;5,00%;0,6;0,2;0,0;0,0;0,0;3,0;4,4;3,7;3,1;7,7;7,3;8,0;7,7;7,0;8;0,7;3,9;5,8;5,4;5,4;5,5;5,4;6,6;6,0;3,2;4,6
El Salvador;SLV;4,7;5,6;5,2;5,3;3,3;4,3;397;61;1,2;0,7;6,9;2,9;4,4;0,1;0,0;0,00%;0,0;0,0;1,2;1,1;1,2;1,3;0,0;21,86%;2,4;1,2;4,3;1,3;2,8;1,3;0,9;1,1;1,3;6,0;5,5;10,0;7,2;6,9;53;5,3;6,1;6,7;2,4;2,7;7,1;4,1;9,2;6,7;3,6;5,2
Equatorial Guinea;GNQ;6,2;x;6,2;x;x;x;12;9;0,2;0,0;x;0,1;4,2;0,0;0,0;0,00%;0,0;0,0;10,0;10,0;10,0;3,5;8,6;31,66%;3,5;6,4;3,7;1,8;2,8;9,7;6,6;8,2;5,1;4,2;x;4,0;4,1;5,9;11;1,1;3,5;3,8;1,1;7,9;7,6;5,5;x;5,5;1,2;2,9,,,,,,,
Eritrea;ERI;9,3;x;9,3;x;x;x;365;104;2,1;x;x;2,1;6,9;2,5;1,4;0,07%;3,0;2,2;1,2;0,8;1,0;1,2;0,6;30,79%;3,4;1,6;6,0;5,2;5,6;x;6,3;6,3;4,2;2,5;x;2,0;2,3;4,1;5;0,4;2,3;2,3;4,5;9,2;9,9;7,9;x;7,9;0,4;2,8,,,,,,,,,
